"Table 233.70. Percentage of public schools with security staff present at least once a week, and percentage with security staff routinely carrying a firearm, by selected 
              school characteristics: 2005–06 through 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School characteristic,Percent with one or more security staff\1\,,,,,,,,,,,,,,,,,,Percent with any security staff routinely carrying a firearm\2\,,,,,,,,,Percent with sworn law enforcement officers routinely carrying a firearm\2\,,,,,,,,,,,
,2005–06,,,2007–08,,,2009–10,,,2013-14\3\,,,2015-16,,,2017-18,,,2005–06,,,2007–08,,,2009–10,,,2015–16,,,2017–18,,,,,,,,
1,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,,,,,,
     All public schools .....................................................,41.7,,(1.28),46.3,,(1.29),42.8,,(1.07),43.0,,(1.48),56.5,,(1.29),61.4, ,(1.27),30.7,,(1.10),34.1,,(1.11),28.0,,(0.97),42.9,,(1.50),46.7, ,(1.06),,,,,,
School level\4\ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Primary ............................................................................,26.2,,(1.87),33.1,,(2.04),27.7,,(1.50),28.6,,(2.15),45.4,,(1.95),51.4, ,(2.00),15.7,,(1.55),20.1,,(1.68),12.5,,(1.25),30.6,,(2.35),36.0, ,(1.68),,,,,,
  Middle ............................................................................,63.7,,(1.30),65.5,,(1.59),66.4,,(1.45),63.3,,(2.15),73.4,,(1.65),80.0, ,(1.32),51.8,,(1.32),54.2,,(1.92),51.0,,(1.84),60.0,,(1.52),67.6, ,(1.68),,,,,,
  High school/combined .............................................................................,62.9,,(2.65),65.5,,(2.02),62.8,,(1.74),64.1,,(2.44),71.3,,(2.19),72.3, ,(1.67),51.8,,(2.39),54.9,,(1.90),50.1,,(1.80),60.7,,(1.96),57.1, ,(1.78),,,,,,
    High school ............................................................................,75.2,,(1.66),79.6,,(1.47),76.4,,(1.45),---,,(†),81.0,,(1.40),84.3, ,(1.11),64.0,,(1.71),67.5,,(1.51),63.3,,(1.75),70.9,,(1.55),72.0, ,(1.55),,,,,,
    Combined ............................................................................,43.5,,(5.25),39.9,,(5.59),36.6,,(4.89),---,,(†),51.2,,(5.86),48.4, ,(4.86),32.4,,(4.50),32.1,,(4.89),24.6,,(4.26),39.7,,(5.34),27.5, ,(4.17),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment size  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Less than 300 .....................................................,22.7,,(2.65),27.6,,(2.55),25.6,,(2.91),21.7,,(3.05),34.8,,(3.61),44.7, ,(3.28),16.2,,(2.17),16.1,,(2.39),13.5,,(2.16),26.8,,(3.38),34.4, ,(3.30),,,,,,
  300 to 499 ............................................................................,29.8,,(2.29),36.1,,(2.66),33.5,,(2.26),35.4,,(2.90),49.9,,(2.66),51.5, ,(2.49),20.5,,(1.83),26.7,,(2.37),19.8,,(1.84),37.8,,(2.70),36.0, ,(2.06),,,,,,
  500 to 999 .....................................................,50.5,,(1.90),52.7,,(1.99),47.3,,(1.60),50.6,,(2.37),64.6,,(1.99),69.0, ,(1.62),36.9,,(1.67),39.5,,(1.98),30.3,,(1.42),46.0,,(2.16),52.4, ,(1.77),,,,,,
"  1,000 or more .....................................................",86.9,,(1.39),90.6,,(1.59),90.0,,(1.37),87.2,,(2.27),91.4,,(1.73),94.3, ,(0.97),70.3,,(1.67),73.5,,(1.62),74.6,,(1.75),80.5,,(1.65),79.4, ,(1.63),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  City ............................................................................,49.1,,(2.57),57.3,,(3.05),50.9,,(2.51),45.5,,(3.13),61.9,,(2.87),63.3, ,(2.48),30.5,,(1.73),33.1,,(2.32),27.6,,(1.98),36.0,,(2.89),36.0, ,(1.76),,,,,,
  Suburban .....................................................,42.7,,(1.67),45.4,,(2.08),45.4,,(1.90),47.7,,(2.70),57.9,,(2.30),63.3, ,(1.78),32.2,,(1.51),33.7,,(1.94),29.6,,(1.45),44.6,,(2.28),51.0, ,(1.89),,,,,,
  Town ............................................................................,44.4,,(3.86),51.1,,(3.50),39.0,,(3.11),48.0,,(4.08),62.0,,(3.55),68.9, ,(3.46),38.1,,(3.62),45.0,,(3.54),31.6,,(2.81),56.5,,(3.56),59.4, ,(3.82),,,,,,
  Rural ............................................................................,33.8,,(1.87),36.0,,(1.98),35.2,,(2.20),35.5,,(2.33),46.7,,(2.54),53.7, ,(3.02),27.1,,(1.84),30.5,,(2.05),25.3,,(1.78),41.3,,(2.48),46.1, ,(2.58),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent minority enrollment\5\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
